,caption,date,likes,comments,shortcode
55,"¿Ya conoces la Tarjeta Garantizada de Nu? En este #Xpeeronline, te contamos a detalle todo lo que necesitas saber sobre este nuevo producto, desde cómo solicitarla hasta tips para construir un historial sólido y positivo. Conoce más en link de la bio.",2023-12-20 22:34:00,535,21,C1F3zEoLyIS
56,"¿Has sido víctima de estafa o intento de fraude en línea? Entra a Ayuda Nu en el link de la bio y recibe atención de primera emergencia, asistencia 24/7 y tips de seguridad relacionados con tu moradita.",2023-12-18 21:09:58,542,22,C1Akj6tpG6o
57,"Estamos felices porque recibimos el distintivo de Mejores Lugares para Trabajar LGBTQ+ de la Fundación @humanrightscampaign, diseñada para promover la inclusión de las diversidad en el lugar de trabajo.

Este programa realiza una encuesta anual que evalúa la inclusión LGBTQ+ en los centros laborales dentro de las principales empresas mexicanas y multinacionales y, con base en los resultados, otorga el
distintivo, “Mejores Lugares para Trabajar LGBTQ+”. En Nu fue un honor recibir esta mención. 
Toda la info en el #BlogNu en el link en bio.",2023-12-06 00:45:01,653,34,C0fe92IrCp_
58,"Respira. Permite que el universo financiero, la @condusefoficial y Academia Nu, te guíen hacia un estado zen de conexión contigo, los productos crediticios y tus metas económicas. Numasté🧘🏽‍♀️☯️ Inscríbete gratis al curso en el link de la bio.",2023-11-30 00:06:03,1922,61,C0P9vOapY71
59,Este es un llamado para que los que más quieres retomen el control de su dinero con Nu. Etiquétalos y dales la bienvenida a una nueva era financiera. #BievenidoALaEraNu,2023-11-29 00:00:14,862,48,C0NYRtOLD8w
60,Solo quienes ya despidieron a la prehistoria financiera lograrán ver el mensaje oculto en la taza. Comenta si lo encontraste. #BienvenidoALaEraNu,2023-11-23 23:46:44,819,56,C0AevuZNG6j
61,"¿Sabías que puedes aumentar tu límite de depósitos en tu Cuenta Nu?
Checa tu límite de depósitos dando clic en 'Recibir' dentro del apartado de Cuenta en la pantalla principal de tu app Nu.
Si tu límite es de $23,757.77, auméntalo siguiendo estos pasos 👆

Si quieres más detalles sobre el límite de depósitos, entra al #BlogNu en el link en la bio.",2023-11-21 23:51:40,1132,67,Cz7Vu4sN13g
62,"¡Los planes Nu te respaldan!
Aprovecha los planes de tu TDC Nu este Buen Fin.
Utiliza los MSI al estilo Nu con cualquiera de nuestros aliados o difiere cualquier compra con la opción de Compras Diferidas, que ahora te da la opción de poder empezar a pagar hasta dos meses después de tu compra.
Entra a nuestro blog link en la bio y conoce todos los detalles.
CAT Promedio informativo 96.5% sin IVA, más información en nu.com.mx/cat",2023-11-16 23:42:00,635,27,CzucprLLptX
63,"Crecimiento, beneficios y récords de ingresos: eso es lo que Nubank logra en el tercer trimestre de 2023. Ya son cinco trimestres consecutivos consolidándonos como una de las mayores empresas de servicios digitales del mundo y de crecimiento más acelerado.

Nu es la cuarta institución financiera más grande en número de clientes en Brasil, con el 51% de la población adulta y la segunda en número de clientes con acceso a un producto de crédito.

Seguimos expandiéndonos mientras aumentamos la rentabilidad y mantenemos bajos los costos operativos, lo que nos convierte en una de las empresas más eficientes de América Latina. Este escenario nos permite seguir invirtiendo cada vez más en el desarrollo de futuros productos y en la expansión geográfica.

Todos estos resultados y cifras son fundamentales porque son la fuerza que nos permite potenciar las soluciones que mejoran la vida de quienes más importan: tú.

#ConNuEsPosible",2023-11-15 00:03:53,1737,93,CzpVkTBL5bC
64,"Cuando los fans de Cuenta Nu nos amen no diremos nada, pero habrá señales. ¿De qué creen que se trate esta nueva noticia de la era Nu? #bienvenidoalaeranu",2023-11-08 00:33:08,3774,484,CzXXWUop4C4
