,caption,date,likes,comments,shortcode
46,"El banco 100% digital 🤝 el súper 100% digital. ¡Últimos días para aprovechar el 30% de cashback en tu pedido de Jüsto! 🤑 ¿Qué esperas para hacer tu súper? 👀🛒

Consulta T&C de la promoción: https://hey.inc/TyCJustoCashback30

#HeyBanco #Justo #súper #cashback #banco",2024-03-26 00:19:23,155,10,C49PLccOLGb
47,"👽 Conoce antes que nadie la nueva #TarjetaHey, disponible sin costo y por tiempo limitado en nuestro Hospitality de @tecatepalnorte, ubicado a lado del escenario Tecate Original, los días 29, 30 y 31 de marzo. 🔥 Recuerda que para acceder a nuestro Hospitality debes ser #FanHey o #HeyPro. 🤘🏻¡Hipnotízate con sus colores! 🪐",2024-03-25 21:55:24,854,32,C48_yqvOZny
48,"Compara las diferencias de ser #FanHey o #HeyPro y elige el que mejor se adapte a tus metas. 👏🏻

😎 Cualquiera de los dos te dan acceso VIP a nuestro Hospitality en @tecatepalnorte 🔥",2024-03-23 01:14:38,841,34,C41oNSVu4pB
49,"¡Estamos a 1️⃣ semana de @tecatepalnorte! 🤟🏼🦁 Si aún no eres Cliente Hey, considera esta ✨tu señal✨ para abrir tu cuenta y desbloquear todos los beneficios del festival. 😎

#HeyBanco #TecatePalNorte #festival #banco #Monterrey",2024-03-22 19:07:32,902,16,C40991VOu9m
50,"📣 ¡Atención Monterrey! El Reto Hey ha llegado 📣

Este 23 de marzo sigue las pistas, busca el Boleto Dorado, sé el primero en atraparlo y llévate 2 abonos generales plus para el Tecate Pa´l Norte 2024 🦁🔥

¡Activa notificaciones y no te pierdas las pistas de este sábado!

#tecatepalnorte #palnorte #monterrey",2024-03-21 17:16:56,1744,69,C4yMvtNO-GT
51,"Abre tu Cuenta Hey Hoy, ¡en minutos desde tu celular!

Sólo necesitas:
🪪 INE vigente o pasaporte
🇲🇽 Nacionalidad mexicana
🧾 Comprobante de domicilio

¡Empieza a disfrutar de los beneficios de Hey!",2024-03-21 00:29:41,168,4,C4wZeZQuL-U
52,"¡Prepárate para la aventura de @tecatepalnorte con Hey! 🦁🔥

Conoce nuestro Hospitality y espacio con increíbles dinámicas para que te lleves ¡hasta un auto! 🚘

👉🏻 Asegúrate de ser Fan o Hey Pro para disfrutar de nuestro Hospitality durante el festival.",2024-03-19 22:54:56,876,65,C4tp1hsPM9C
53,"Adivina los emojis y te llevamos a @tecatepalnorte, ¡parte 2! 🦁 ¿Ustedes adivinaron a los artistas? 👀

#HeyBanco #TecatePalNorte #festival #reto #Monterrey",2024-03-19 21:17:19,1674,22,C4tdUxIOfyd
54,"Adivina el emoji, ¡y te llevamos a @tecatepalnorte! 🦁 ¿Ustedes adivinaron los artistas de los emojis? 👀

#HeyBanco #TecatePalNorte #giveaway #artistas #festival",2024-03-15 22:32:10,2746,27,C4jTadLOZFl
55,"📣 ¡Tampico! El Reto Hey ha llegado a tu ciudad 📣

Busca tu Boleto Dorado este 16 de marzo, sigue las pistas, atrápalo y descubre premios para canjear en la Fan Shop y Hey Shop.

¡Activa notificaciones y no te pierdas las pistas de este sábado!

#Tampico",2024-03-14 16:59:48,1098,31,C4gJOBeOpFq
56,"🛒 ¡Disfruta de tu súper sin salir de casa y con cashback! 

Recibe 3️⃣0️⃣% de cashback en @justomx con tu Tarjeta de Crédito Hey y anualidad activa. 🤑 

Esta es una de las promociones que tienes por ser de nuestros clientes más leales. 💛",2024-03-13 00:19:13,107,4,C4bx6q9OzKG
57,"Entérate de lo que te espera este marzo con Hey: 

✨ Prepárate para nuestros giveaways donde estarás obteniendo abonos para el Tecate Pa´l Norte ️2024.
✨Obtén un 30% de cashback en tu compra en Jüsto pagando con tu Tarjeta de Crédito Hey y al tener activa tu anualidad.
✨Juega en las Key Master en nuestras Fan Shops y obtén hasta 32 mil pesos en Jüsto. 
✨¡Tasa del 13% en tu Inversión Hey al ser Hey Pro!
✨Sé Fan y obtén mejores tasas, promociones y beneficios exclusivos ¡Actívala desde tu app!
✨Ahora tu saldo de tu Cuenta Hey Negocios te da un 12% de rendimiento anual. ¡Empieza a crecer tu negocio!
✨ No te quedes sin nuestra primera edición limitada 2024 con Cecilia Barreto. ¡Pide la tuya!
✨ Te esperamos en nuestra nueva Fan Shop Guadalajara en Midtown Jalisco. 
✨Se parte del Reto Hey y encuentra los incentivos que tenemos para ti en tu ciudad.

#HeyBanco",2024-03-08 21:35:42,281,0,C4RMBiluvcr
58,"Haz crecer tu dinero con Inversión Hey al 13% 💰✨

Comienza fácil desde tu App Hey y accede a tasas irresistibles siendo Hey Pro.

¡Elige bien, elige Hey!",2024-03-07 22:46:57,897,15,C4OvYgevPmD
59,"📣 ¡Querétaro! El Reto Hey ha llegado a tu ciudad 📣
Busca tu Boleto Dorado este 9 de marzo, sigue las pistas, atrápalo y descubre premios para canjear en la Fan Shop y Hey Shop.

¡Activa notificaciones y no te pierdas las pistas de este sábado!

#queretaro #qro #querétaro",2024-03-07 17:46:06,804,12,C4OM9CgOlRP
60,"¡Perrito Hey va a @tecatepalnorte y quiere llevarte a ti y a un amig@ también! 🦁🎶

Dos de ustedes se llevarán 2 abonos cada uno para asistir a Tecate Pa’l Norte con un amig@.

Para participar:
1. Síguenos en Instagram @heybanco y @media.hey.inc
2. Comenta el nombre de la canción que Perrito Hey quiere ir a escuchar a @tecatepalnorte y etiqueta a un amig@
3. Asegúrate de que tu amig@ también siga a @heybanco y @media.hey.inc 

Puedes participar las veces que quieras etiquetando a un amig@ diferente por comentario.

⭐Importante:
- El acreedor debe tener su Cuenta Hey activa al momento de la premiación.
- Tienes hasta el 18 de marzo para participar.
- El 19 de marzo anunciaremos a los 2 acreedores de un abono general doble para @tecatepalnorte

Consulta t&c: https://hey.inc/GAPerritoHeyTPN",2024-03-06 22:23:30,2330,3025,C4MH56Fucll
61,"¡Aumenta tu rendimiento al máximo con Hey Negocios! 💸💼

Conoce cómo llevar tu Cuenta Negocios al siguiente nivel y alcanzar un impresionante 12%

No dejes pasar esta oportunidad y haz crecer tu capital.",2024-03-05 22:18:33,195,0,C4JiiuWOhI3
62,"¡Hey, Guadalajara! 🌟 Bienvenidos a nuestra Fan Shop 🌟

Estamos emocionados de recibirte en @midtown.jalisco para que disfrutes y vivas la experiencia Hey.",2024-03-05 18:54:02,112,0,C4JKrt2OFwq
63,"🤘🏼Giveaway Nacional Tecate Pa’l Norte 🤘🏼

¡Hey Banco y @vivaaerobus te llevan a ti y a un acompañante a @tecatepalnorte! 🦁

Para participar:
1. Síguenos en Instagram @heybanco y a @vivaaerobus
2. Comenta el artista que crees vendrá al Escenario Sorpresa de Viva Aerobus y etiqueta a un amig@
3. Asegúrate de que tu amig@ también siga a @heybanco y a @vivaaerobus

Puedes participar las veces que quieras etiquetando a un amig@ diferente por comentario.

Seleccionaremos 10 comentarios a través de un juzgado interno y podrás votar por tu predicción favorita en nuestras Instagram stories.

El comentario con más votos obtenidos será el acreedor de 2 abonos generales para Tecate Pa’l Norte 2024 y un vuelo redondo para 2 personas.

⭐ Importante:
- Los vuelos redondos aplican desde cualquier destino nacional con Viva Aerobus.
- El ganador debe tener su Cuenta Hey activa al momento de la premiación.
- Tienes hasta el 11 de marzo para participar, las votaciones se realizarán el 12 de marzo.
- El ganador será anunciado el 13 de marzo.

Consulta T&C: https://hey.inc/HeyVivaGA",2024-03-05 18:32:58,2767,2205,C4JIumgOgk0
64,"¡Considera esta tu señal para activar tus recompensas en tu Tarjeta de Crédito Hey contratando la anualidad! 💳⭐️

Recibe 1% de recompensas en todas tus compras, 2% en comercios seleccionados y durante todo marzo: ¡30% de cashback en @JustoMX! 🤩🛒

Consulta T&C de la promoción: https://hey.inc/TyCJustoCashback30

#HeyBanco #recompensas #cashback #TDC #finanzas",2024-03-01 22:53:29,282,0,C3_TRVaOfaI
65,"Disfruta de un 30% de cashback en tu próxima compra en Jüsto al usar tu Tarjeta de Crédito Hey. 🛒🤑

Esta es una promoción exclusiva que recibes como Cliente Hey al mantener activa tu anualidad.

Válido para una compra mensual por tarjeta habiente. Vigencia del 01 al 31 de marzo 2024. 

Consulta T&C aquí: https://hey.inc/TyCJustoCashback30",2024-03-01 20:57:10,185,1,C3_GDJnS_7n
66,"¿Saben qué es mejor que una Hey Fan Shop? 👀 ¡Tres Fan Shops ya abiertas en Ciudad de México, Monterrey y Guadalajara! 🤩 ¿Cuál ciudad creen que siga? 🫣

Visítanos:
📍CDMX: Av. Pate Masaryk 25
📍MTY: Plaza Fiesta San Agustín
📍GDL: Midtown GDL

#HeyBanco #FanShop #tienda #CDMX #Monterrey #Guadalajara",2024-02-29 22:34:06,630,28,C38sEHxOHOx
